# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
-5.18093238e-03, -8.34984424e-03, -1.94430904e-02, 3.29931200e+01, 9.99292107e-04, 3.51461470e-01, -3.84010136e-01, 7.39000000e+02, 6.86999149e-02
-2.47654253e-02, 2.31156669e-03, -1.61199450e-02, 3.39922200e+01, 4.75793987e-03, 5.77432573e-01, -2.36408457e-01, 7.39000000e+02, 7.23246044e-02
-2.05787626e-02, -1.40767432e-02, -2.26242884e-02, 3.49958790e+01, -2.83925505e-04, 2.12465122e-01, -2.50969768e-01, 7.39000000e+02, 6.37284942e-02
-2.45288044e-02, -3.08169918e-02, -3.30720400e-02, 3.59958250e+01, 3.24922141e-03, 7.07257092e-01, -2.94899732e-01, 7.39000000e+02, 6.74381942e-02
-1.99846932e-02, -6.37651368e-03, -2.71537750e-02, 3.69930340e+01, -9.47095352e-04, 3.00692350e-01, -7.82569766e-01, 7.39000000e+02, 7.71489459e-02
-2.19813995e-02, -1.79896613e-02, -2.75751778e-02, 3.79978520e+01, 1.70892483e-03, 4.94480163e-01, -6.02062166e-01, 7.39000000e+02, 7.39388150e-02
-1.00663941e-02, 3.78157749e-03, -2.23757658e-02, 3.89980620e+01, 5.68097161e-03, 3.61851484e-01, -4.00155962e-01, 7.39000000e+02, 7.66960585e-02
-1.91435128e-02, -1.71471607e-02, -3.41234221e-02, 3.99942340e+01, 2.54231206e-03, 2.40897834e-01, -2.78009117e-01, 7.39000000e+02, 6.64706002e-02
-3.49858795e-02, -1.89846880e-02, -3.34541437e-02, 4.10009070e+01, 1.71307536e-03, 3.25267226e-01, -4.75451380e-01, 7.39000000e+02, 7.46876343e-02
-1.56815909e-02, 7.46788862e-04, -1.90639268e-02, 4.19931610e+01, 5.11379030e-03, 6.02294147e-01, -2.71624625e-01, 7.39000000e+02, 7.66766917e-02
-7.92645430e-03, -7.97688033e-03, -1.98069451e-02, 4.29981600e+01, 3.87940660e-03, 4.05871212e-01, -5.40265381e-01, 7.39000000e+02, 7.51667602e-02
-4.87169797e-03, -5.86435310e-03, -2.10674073e-02, 4.39999930e+01, 6.95668813e-03, 2.91803658e-01, -9.88590002e-01, 7.39000000e+02, 8.35449332e-02
-1.61045950e-02, -1.12149423e-02, -3.12206870e-02, 4.49974030e+01, 5.36252607e-03, 3.43875617e-01, -2.45463610e-01, 7.39000000e+02, 7.11899423e-02
-3.07833362e-02, -8.11222938e-03, -3.02552272e-02, 4.59983870e+01, 4.76832092e-03, 2.48152614e-01, -7.59172201e-01, 7.39000000e+02, 7.79772282e-02
-1.39695268e-02, -1.71341832e-02, -2.72778245e-02, 4.70051660e+01, 6.37833822e-03, 3.12488675e-01, -6.02820933e-01, 7.39000000e+02, 7.86390324e-02
-2.43626357e-02, -1.04825427e-02, -3.48736544e-02, 4.79983270e+01, 5.82820122e-03, 2.91671395e-01, -4.94467348e-01, 7.39000000e+02, 7.67559836e-02
-2.02518071e-02, -1.53424753e-02, -4.94405984e-02, 4.89985250e+01, 1.23792802e-02, 4.41514373e-01, -7.81411827e-01, 7.39000000e+02, 8.31742061e-02
-4.43320540e-02, -1.86077557e-02, -3.76877664e-02, 5.00052520e+01, 1.07255882e-02, 2.79801190e-01, -5.25932193e-01, 7.39000000e+02, 8.06027313e-02
-3.44325732e-02, -3.25137607e-02, -5.58327942e-02, 5.10012280e+01, 4.84022504e-03, 3.29707444e-01, -8.86438906e-01, 7.39000000e+02, 9.38572624e-02
-4.30744033e-02, -2.50848127e-02, -4.77394376e-02, 5.19984220e+01, 8.43628400e-03, 2.68290997e-01, -6.43426538e-01, 7.39000000e+02, 8.63708321e-02
-6.46506927e-02, -3.41210535e-02, -6.24635258e-02, 5.30021720e+01, 1.20366801e-02, 3.12550426e-01, -5.23271322e-01, 7.39000000e+02, 8.24303386e-02
-4.66124146e-02, -3.63631245e-02, -5.60872186e-02, 5.39965430e+01, 1.14468118e-02, 2.64224768e-01, -2.95662016e-01, 7.39000000e+02, 8.14668388e-02
-5.16301253e-02, -2.95386732e-02, -5.01603667e-02, 5.49964670e+01, 1.14175451e-02, 3.14988315e-01, -6.51357532e-01, 7.39000000e+02, 9.02106517e-02
-5.28696090e-02, -4.12604548e-02, -7.71714078e-02, 5.60001530e+01, 9.24337320e-03, 5.10406196e-01, -4.95457053e-01, 7.39000000e+02, 8.28561696e-02
-8.00527962e-02, -7.33244875e-02, -1.01218847e-01, 5.70032170e+01, 1.24138988e-02, 3.31333041e-01, -2.87021279e-01, 7.39000000e+02, 8.22724215e-02
-8.83617827e-02, -6.90377344e-02, -9.25899907e-02, 5.79993160e+01, 1.44413097e-02, 2.93990791e-01, -5.80466390e-01, 7.39000000e+02, 8.83854189e-02
-8.34202855e-02, -4.92590863e-02, -7.89713352e-02, 5.89991690e+01, 1.38186454e-02, 3.09840083e-01, -8.55866790e-01, 7.39000000e+02, 8.92712089e-02
-1.22506648e-01, -1.08057296e-01, -1.40507473e-01, 6.00002910e+01, 1.70142556e-02, 4.16903973e-01, -1.18282402e+00, 7.39000000e+02, 1.01562623e-01
-1.06839617e-01, -6.36525942e-02, -1.02404231e-01, 6.10051170e+01, 1.71110657e-02, 4.01478410e-01, -8.00441027e-01, 7.39000000e+02, 9.43358543e-02
-1.21352642e-01, -8.67086332e-02, -1.15081961e-01, 6.20089770e+01, 2.01801290e-02, 3.12136412e-01, -4.43713337e-01, 7.38000000e+02, 9.01279439e-02
-1.19437636e-01, -6.21927108e-02, -1.17152703e-01, 6.29985300e+01, 1.41942081e-02, 3.53206158e-01, -3.22642058e-01, 7.39000000e+02, 8.52197872e-02
-8.73529986e-02, -6.17216780e-02, -1.04875862e-01, 6.39993870e+01, 2.10030506e-02, 3.61023724e-01, -4.27845716e-01, 7.39000000e+02, 9.57778707e-02
-1.06127571e-01, -8.39788419e-02, -1.20606389e-01, 6.50052630e+01, 2.08180530e-02, 4.08652574e-01, -3.24562371e-01, 7.39000000e+02, 9.23160369e-02
-9.85289171e-02, -7.48543724e-02, -1.12676216e-01, 6.59994190e+01, 2.30964393e-02, 3.79627734e-01, -3.48921239e-01, 7.39000000e+02, 9.15524141e-02
-8.13554296e-02, -8.14976181e-02, -1.17159376e-01, 6.70013200e+01, 2.10559813e-02, 4.24596965e-01, -7.04954743e-01, 7.38000000e+02, 9.92810817e-02
-1.13833036e-01, -8.23777236e-02, -1.21611655e-01, 6.80022320e+01, 2.58078090e-02, 3.99418861e-01, -3.77791405e-01, 7.39000000e+02, 9.28778551e-02
-8.19940809e-02, -8.92933238e-02, -1.34617555e-01, 6.90003890e+01, 2.33453532e-02, 4.04744983e-01, -3.99849653e-01, 7.39000000e+02, 9.04968634e-02
-1.18736854e-01, -1.00458512e-01, -1.37156710e-01, 6.99983880e+01, 2.36795734e-02, 4.15359497e-01, -8.39178503e-01, 7.39000000e+02, 9.81118492e-02
-1.33460457e-01, -1.03071322e-01, -1.45314624e-01, 7.10042900e+01, 2.50768276e-02, 4.45506781e-01, -3.89374882e-01, 7.39000000e+02, 9.50257940e-02
-1.34565083e-01, -1.02612867e-01, -1.48880767e-01, 7.20024160e+01, 2.67968546e-02, 4.62822556e-01, -4.35000926e-01, 7.39000000e+02, 9.69490932e-02
-1.42038137e-01, -1.02949543e-01, -1.50030943e-01, 7.29966700e+01, 2.41200900e-02, 4.26065803e-01, -4.91606206e-01, 7.39000000e+02, 1.00051304e-01
-1.46165811e-01, -1.15066992e-01, -1.65395208e-01, 7.40032840e+01, 1.84290402e-02, 4.20946985e-01, -8.77401352e-01, 7.39000000e+02, 1.06094685e-01
-1.56539753e-01, -1.42987820e-01, -1.83103374e-01, 7.50022940e+01, 2.72952882e-02, 4.98045236e-01, -4.49561298e-01, 7.39000000e+02, 9.70207586e-02
-1.61963840e-01, -1.28828571e-01, -1.85763627e-01, 7.59985110e+01, 2.38051658e-02, 5.13466656e-01, -6.12238944e-01, 7.39000000e+02, 9.91333061e-02
-1.72615138e-01, -1.27048728e-01, -1.84413050e-01, 7.69985060e+01, 2.76530402e-02, 4.49225456e-01, -5.35422802e-01, 7.39000000e+02, 9.85292284e-02
-1.75582982e-01, -1.48473732e-01, -1.90794179e-01, 7.79996200e+01, 2.98207807e-02, 4.72887784e-01, -4.28566635e-01, 7.38000000e+02, 1.01024625e-01
-1.70987182e-01, -1.35061016e-01, -1.92215583e-01, 7.90011600e+01, 2.90856511e-02, 5.09225667e-01, -8.90177965e-01, 7.39000000e+02, 1.09426939e-01
-1.78770248e-01, -1.32664643e-01, -1.89761111e-01, 8.00033140e+01, 2.83157823e-02, 5.21948457e-01, -1.04635179e+00, 7.39000000e+02, 1.14211326e-01
-1.79417739e-01, -1.32953897e-01, -1.90543928e-01, 8.10023500e+01, 3.24133790e-02, 4.98080224e-01, -5.27310193e-01, 7.39000000e+02, 9.84627559e-02
